q1,q14,q15,location,location_latitude,location_longitude,location_altitude,location_precision,final_age,age_category_child
2,0,1,0.33282482126339596 34.490912843361755 1308.0 10.0,0.332824821,34.49091284,1308,10,11,1
2,0,1,0.3385392276384847 34.45714055072711 1277.0 5.0,0.338539228,34.45714055,1277,5,11,1
2,0,1,0.3385392276384847 34.45714055072711 1277.0 5.0,0.338539228,34.45714055,1277,5,11,1
2,0,0,-4.1742481 39.4530059 0.0 1746.0,-4.1742481,39.4530059,0,1746,11,1
2,0,0, , , , , ,11,1
1,0,1,-4.392618294670106 39.299285492523936 97.0 25.0,-4.392618295,39.29928549,97,25,11,1
1,1,88,-4.30377208906674 39.45549336285853 96.0 10.0,-4.303772089,39.45549336,96,10,11,1
1,1,1,-4.270309665454571 39.45897959165438 127.0 5.0,-4.270309665,39.45897959,127,5,11,1
1,1,1,-4.145893557416536 39.61287868604281 -9.0 5.0,-4.145893557,39.61287869,-9,5,11,1
1,0,1,-4.222885510659962 39.57100743337173 18.0 10.0,-4.222885511,39.57100743,18,10,11,1
1,0,1,0.34070913529744523 34.47656438643055 1274.0 5.0,0.340709135,34.47656439,1274,5,12,2
2,0,0,0.2881410122356935 34.456303533916845 1303.0 5.0,0.288141012,34.45630353,1303,5,12,2
2,0,1,0.2925128694298562 34.53108135977682 1316.0 10.0,0.292512869,34.53108136,1316,10,12,2
1,0,1,0.2053666 34.4865443 0.0 3734.0,0.2053666,34.4865443,0,3734,12,2
1,0,0,0.2743080911541517 34.45716005737904 1357.0 5.0,0.274308091,34.45716006,1357,5,12,2
2,0,0,0.2648243 34.4498484 0.0 3118.0,0.2648243,34.4498484,0,3118,12,2
2,0,0, , , , , ,12,2
1,0,1,0.21668231058624443 34.422127500299496 1327.0 5.0,0.216682311,34.4221275,1327,5,12,2
1,1,1,-4.1848719 39.4725633 0.0 3152.0,-4.1848719,39.4725633,0,3152,12,2
2,0,0,-4.1895678409143535 39.55188807821378 95.0 15.0,-4.189567841,39.55188808,95,15,12,2
2,0,1,0.3559298 34.6162408 0.0 3015.0,0.3559298,34.6162408,0,3015,12,2
2,1,1,-4.185512416975006 39.55956005473991 91.0 5.0,-4.185512417,39.55956005,91,5,12,2
1,0,1,-4.1939573 39.567526 0.0 4388.0,-4.1939573,39.567526,0,4388,12,2
2,0,1,-4.2532140748378815 39.57707309605722 -19.0 10.0,-4.253214075,39.5770731,-19,10,12,2
2,0,1,-4.223513137612631 39.56480283039901 42.0 5.0,-4.223513138,39.56480283,42,5,12,2
1,0,1,-4.231941829174765 39.58525460515646 -6.0 5.0,-4.231941829,39.58525461,-6,5,12,2
2,1,1, , , , , ,12,2
1,0,0,0.29599213322555257 34.62317300963006 1437.0 15.0,0.295992133,34.62317301,1437,15,12,2
1,1,0, , , , , ,12,2
2,0,1, , , , , ,12,2
1,1,1,0.3019123934067035 34.506919802049886 1295.0 5.0,0.301912393,34.5069198,1295,5,13,2
1,0,1, , , , , ,13,2
2,1,0,-4.196550700228496 39.47873933439992 231.0 30.0,-4.1965507,39.47873933,231,30,13,2
1,1,1,-4.158023172542032 39.57617910340149 117.0 15.0,-4.158023173,39.5761791,117,15,13,2
2,0,1,-4.123092216518487 39.553715417069455 25.0 5.0,-4.123092217,39.55371542,25,5,13,2
1,0,1,-4.239508409583123 39.593553531821634 8.0 15.0,-4.23950841,39.59355353,8,15,13,2
1,0,1,-4.310397741879334 39.450434963022445 52.0 35.0,-4.310397742,39.45043496,52,35,13,2
1,1,1,-4.303975988005479 39.45592510687268 60.0 5.0,-4.303975988,39.45592511,60,5,13,2
2,1,1, , , , , ,13,2
1,88,88,0.29268605478711096 34.53249904041997 1292.0 10.0,0.292686055,34.53249904,1292,10,13,2
1,0,0,0.3030751512556396 34.54430211457216 1362.0 5.0,0.303075151,34.54430211,1362,5,13,2
1,0,0, , , , , ,13,2
2,1,1, , , , , ,13,2
1,0,1, , , , , ,13,2
2,1,1,0.3416399400233481 34.53868566663761 1320.0 10.0,0.34163994,34.53868567,1320,10,14,2
2,0,0, , , , , ,14,2
2,0,1, , , , , ,14,2
1,1,1,0.2221869119711666 34.476589875736366 1335.0 10.0,0.222186912,34.47658988,1335,10,14,2
2,0,1,0.2123386 34.4305604 0.0 3840.0,0.2123386,34.4305604,0,3840,14,2
1,0,0,-4.151813248487766 39.45259935346853 362.0 5.0,-4.151813248,39.45259935,362,5,14,2
1,1,1,0.3497888746412588 34.602794122339475 1374.0 5.0,0.349788875,34.60279412,1374,5,14,2
1,0,0, , , , , ,14,2
1,0,1,-4.1793791698252845 39.59447912060622 -1.0 10.0,-4.17937917,39.59447912,-1,10,14,2
1,1,1,-4.1840345 39.4695093 0.0 3396.0,-4.1840345,39.4695093,0,3396,14,2
1,0,1,-4.182262414403751 39.489496430448 232.0 5.0,-4.182262414,39.48949643,232,5,14,2
1,0,1,-4.376868581451692 39.279990639340625 39.0 15.0,-4.376868581,39.27999064,39,15,14,2
1,0,1,-4.266099286266458 39.46019411158516 114.0 5.0,-4.266099286,39.46019411,114,5,14,2
1,1,1,-4.145384184735749 39.60873252079592 -13.0 50.0,-4.145384185,39.60873252,-13,50,14,2
1,0,1,-4.225742414953521 39.58224638289403 -1.0 5.0,-4.225742415,39.58224638,-1,5,14,2
2,0,0,0.278487090459017 34.53085431262446 1323.0 5.0,0.27848709,34.53085431,1323,5,14,2
2,0,0,0.318869 34.5549877 0.0 4289.0,0.318869,34.5549877,0,4289,14,2
2,1,1, , , , , ,14,2
1,0,0, , , , , ,14,2
1,0,1,0.3945771545622952 34.572385426454886 1276.0 10.0,0.394577155,34.57238543,1276,10,14,2
2,0,0, , , , , ,14,2
2,1,1,0.3317697791762768 34.51756443418602 1325.0 15.0,0.331769779,34.51756443,1325,15,15,2
2,0,0,0.3402102128107816 34.49612979568421 1280.0 10.0,0.340210213,34.4961298,1280,10,15,2
2,1,1, , , , , ,15,2
1,1,1, , , , , ,15,2
1,0,0, , , , , ,15,2
1,0,1, , , , , ,15,2
1,1,1,-4.37593548551146 39.280119056038274 71.0 20.0,-4.375935486,39.28011906,71,20,15,2
1,1,1,-4.150495640542674 39.53670846483418 100.0 10.0,-4.150495641,39.53670846,100,10,15,2
1,0,1,-4.162528086021067 39.57760371347218 92.0 10.0,-4.162528086,39.57760371,92,10,15,2
1,0,0,-4.185964904861783 39.55947486885229 97.0 5.0,-4.185964905,39.55947487,97,5,15,2
2,0,0,-4.122974107671215 39.555057546784525 30.0 5.0,-4.122974108,39.55505755,30,5,15,2
1,0,1,-4.238190094104688 39.578351588073296 -10.0 5.0,-4.238190094,39.57835159,-10,5,15,2
2,1,1,0.2764531942035518 34.52176244843852 1323.0 20.0,0.276453194,34.52176245,1323,20,15,2
1,0,0,0.28098552756487816 34.537961324624504 1313.0 90.0,0.280985528,34.53796132,1313,90,15,2
1,1,1,0.30975081039111685 34.564609087994135 1343.0 5.0,0.30975081,34.56460909,1343,5,15,2
1,0,0, , , , , ,15,2
2,1,1,0.3807007471309091 34.591134292016136 1417.0 35.0,0.380700747,34.59113429,1417,35,15,2
2,0,1,0.3229794 34.5676914 0.0 4044.0,0.3229794,34.5676914,0,4044,15,2
2,0,1,0.39281993672237686 34.57343258895398 1331.0 15.0,0.392819937,34.57343259,1331,15,15,2
2,1,1,0.3463103107631428 34.489286817631545 1285.0 10.0,0.346310311,34.48928682,1285,10,16,2
1,0,0,0.33282796638814743 34.491022915519004 1302.0 5.0,0.332827966,34.49102292,1302,5,16,2
2,0,0, , , , , ,16,2
2,0,0,0.3384781706518333 34.45719950349884 1276.0 5.0,0.338478171,34.4571995,1276,5,16,2
2,0,1, , , , , ,16,2
2,1,1, , , , , ,16,2
1,0,1, , , , , ,16,2
1,1,1, , , , , ,16,2
2,0,0, , , , , ,16,2
2,1,88,-4.372058462190714 39.27795919316986 76.0 5.0,-4.372058462,39.27795919,76,5,16,2
2,1,1,-4.153731889402158 39.53447402963249 56.0 35.0,-4.153731889,39.53447403,56,35,16,2
2,1,1,-4.310090586315622 39.45670111887231 94.0 5.0,-4.310090586,39.45670112,94,5,16,2
2,1,1, , , , , ,16,2
2,0,1,0.2206929 34.6078199 0.0 2592.0,0.2206929,34.6078199,0,2592,16,2
1,0,1,0.2340504 34.5236104 0.0 2424.0,0.2340504,34.5236104,0,2424,16,2
1,0,0,0.3802777617540873 34.5706039099003 1328.0 15.0,0.380277762,34.57060391,1328,15,16,2
1,1,1, , , , , ,16,2
2,0,0, , , , , ,17,2
1,0,0,0.3341019 34.5139676 0.0 5000.0,0.3341019,34.5139676,0,5000,17,2
2,0,1, , , , , ,17,2
2,0,1,0.2260612 34.4934949 0.0 4161.0,0.2260612,34.4934949,0,4161,17,2
1,88,0, , , , , ,17,2
2,1,1,-4.1915193367957615 39.47967189317874 225.0 15.0,-4.191519337,39.47967189,225,15,17,2
2,1,1,-4.17828153845231 39.50523231379723 141.0 5.0,-4.178281538,39.50523231,141,5,17,2
1,0,1,-4.396103286923718 39.299817116417366 16.0 5.0,-4.396103287,39.29981712,16,5,17,2
2,0,1,-4.237717039923612 39.57830185773877 -2.0 10.0,-4.23771704,39.57830186,-2,10,17,2
1,1,1,-4.13232824085658 39.62789860520718 26.0 25.0,-4.132328241,39.62789861,26,25,17,2
2,0,1,-4.331465848318568 39.25201145296775 262.0 5.0,-4.331465848,39.25201145,262,5,17,2
1,0,0,0.3147411 34.5061804 0.0 3762.0,0.3147411,34.5061804,0,3762,17,2
1,0,1, , , , , ,17,2
2,0,0,0.341270054202361 34.47570353259983 1284.0 5.0,0.341270054,34.47570353,1284,5,18,2
2,0,0,0.3449368553486538 34.54246689619757 1295.0 10.0,0.344936855,34.5424669,1295,10,18,2
1,0,0,0.3297251 34.4971637 0.0 2253.0,0.3297251,34.4971637,0,2253,18,2
1,1,1,0.3374508 34.5030773 0.0 2939.0,0.3374508,34.5030773,0,2939,18,2
2,0,0, , , , , ,18,2
1,1,0, , , , , ,18,2
1,1,1, , , , , ,18,2
1,1,1,-4.176626997722292 39.592035500845775 5.0 5.0,-4.176626998,39.5920355,5,5,18,2
1,1,1,-4.1762563359275315 39.59200881064344 21.0 5.0,-4.176256336,39.59200881,21,5,18,2
